Habitat_type;Sampling_regime;PlotIDYear;Exploratory;PlotID;CollectionYear;biomass;abundance_unidentified_identified;abundance_identified;species;abundance_carnivore;species_carnivore;biomass_carnivore;abundance_herbivore;species_herbivore;biomass_herbivore;abundance_detritomycetophage;species_detritomycetophage;biomass_detritomycetophage;abundance_omnivore;species_omnivore;biomass_omnivore;abundance_weak_disperser;species_weak_disperser;biomass_weak_disperser;abundance_strong_disperser;species_strong_disperser;biomass_strong_disperser;landuse_intensity;mean_winter_temperature;precipitation_sum_growing_preriod;grassland_cover_250;grassland_cover_500;grassland_cover_1000;grassland_cover_1500;arable_cover_1000;arable_cover_1500;arable_cover_250;arable_cover_500
grassland;annual;AEG02_2017;ALB;AEG2;2017;1565.74533165233;703;62;28;11;7;386.070406846649;51;21;1179.67492480568;0;0;0;0;0;0;8;4;1565.74533165233;6;2;664.39757078036;3.28;0.133354333333333;708.46;45.35;34.37;36.8;31.22;31.71;17.81;30.55;38.68
grassland;annual;AEG03_2008;ALB;AEG3;2008;9743.41426590905;1457;476;39;8;3;412.298692666792;457;35;9078.98745363288;0;0;0;11;1;252.128119609377;37;6;9743.41426590905;10;3;4245.36082527829;1.77;0.784817272727273;574.42;59.81;41.5;31.61;30.93;21.01;22.6;17.28;24.53
grassland;annual;AEG03_2009;ALB;AEG3;2009;7878.53191549463;658;149;36;5;5;280.382579215821;142;30;7552.3078599862;0;0;0;2;1;45.841476292614;40;4;7878.53191549463;3;2;3465.90496349412;1.77;-1.14541333333333;725.76;59.81;41.5;31.61;30.93;21.01;22.6;17.28;24.53
grassland;annual;AEG03_2010;ALB;AEG3;2010;2864.40187030335;688;133;31;8;5;283.142097549726;125;26;2581.25977275362;0;0;0;0;0;0;27;5;2864.40187030335;3;3;694.029010733644;1.77;-0.95812108333333;803.1;59.81;41.5;31.61;30.93;21.01;22.6;17.28;24.53
grassland;annual;AEG03_2011;ALB;AEG3;2011;3830.85179056525;262;78;28;4;4;71.8553343005009;73;23;3736.07571811844;0;0;0;1;1;22.920738146307;13;4;3830.85179056525;6;3;1196.78408214281;1.77;-0.86646175;609.29;59.81;41.5;31.61;30.93;21.01;22.6;17.28;24.53
grassland;annual;AEG03_2012;ALB;AEG3;2012;8026.23228066408;658;135;39;8;8;814.082962355258;123;28;7040.0043723313;0;0;0;4;3;172.144945977518;65;5;8026.23228066408;5;2;4617.79862184457;1.77;-0.53416297520661;614.65;59.81;41.5;31.61;30.93;21.01;22.6;17.28;24.53
grassland;annual;AEG03_2013;ALB;AEG3;2013;2950.30858762356;451;67;27;6;4;299.292333928264;60;22;2628.09551554899;0;0;0;1;1;22.920738146307;10;4;2950.30858762356;7;2;1912.56477380747;1.77;-0.77175341666667;797.48;59.81;41.5;31.61;30.93;21.01;22.6;17.28;24.53
grassland;annual;AEG03_2014;ALB;AEG3;2014;401.320176611468;1226;35;17;5;4;21.8486741258894;29;12;378.735032091803;0;0;0;1;1;0.736470393775502;8;5;401.320176611468;1;1;76.3396472229665;1.77;1.61204491666667;788.78999;59.81;41.5;31.61;30.93;21.01;22.6;17.28;24.53
grassland;annual;AEG03_2015;ALB;AEG3;2015;2175.16895608642;443;74;23;4;4;111.422032627711;68;17;2038.27337799063;0;0;0;2;2;25.4735454680802;6;3;2175.16895608642;5;2;677.233077382182;1.77;0.704822583333333;690.85;59.81;41.5;31.61;30.93;21.01;22.6;17.28;24.53
grassland;annual;AEG03_2016;ALB;AEG3;2016;11105.5133717526;1509;130;34;12;7;299.343084297008;118;27;10806.1702874556;0;0;0;0;0;0;45;8;11105.5133717526;28;5;9549.60806192649;1.77;2.97863636363636;669.16;59.81;41.5;31.61;30.93;21.01;22.6;17.28;24.53
grassland;annual;AEG03_2017;ALB;AEG3;2017;5699.88900274132;726;186;35;5;4;127.311556422628;179;29;5533.96332331061;0;0;0;2;2;38.614123008081;29;6;5699.88900274132;16;5;3474.17326613732;1.77;-0.0731215;713.28;59.81;41.5;31.61;30.93;21.01;22.6;17.28;24.53
grassland;annual;AEG04_2008;ALB;AEG4;2008;27726.8416652127;2094;1262;37;8;5;305.743137697478;1250;29;27389.2440165183;0;0;0;4;3;31.8545109968891;209;4;27726.8416652127;1;1;16575.7246455827;1.8;1.54075752066116;674.89;63.22;48.19;41.51;34.19;4.25;6.32;2.42;1.74
grassland;annual;AEG04_2009;ALB;AEG4;2009;10580.4681194507;729;239;34;13;9;650.99575577751;223;24;9806.08971517038;0;0;0;3;1;123.382648502774;90;4;10580.4681194507;1;1;6801.80133908834;1.8;-0.92567025;760.14;63.22;48.19;41.51;34.19;4.25;6.32;2.42;1.74
grassland;annual;AEG04_2010;ALB;AEG4;2010;2724.94073580536;535;145;21;7;4;238.451434726726;138;17;2486.48930107863;0;0;0;0;0;0;4;4;2724.94073580536;1;1;788.808387741862;1.8;-0.77038175;686.15;63.22;48.19;41.51;34.19;4.25;6.32;2.42;1.74
grassland;annual;AEG04_2011;ALB;AEG4;2011;6171.97406246429;588;187;20;9;6;466.879836108843;177;13;5703.33957627307;0;0;0;1;1;1.75465008237019;47;3;6171.97406246429;1;1;3535.75474448437;1.8;-0.72065333333333;550.58;63.22;48.19;41.51;34.19;4.25;6.32;2.42;1.74
grassland;annual;AEG04_2012;ALB;AEG4;2012;14370.1574826612;624;267;31;5;4;92.7278392933681;260;25;14235.924362429;0;0;0;2;2;41.505280938821;167;4;14370.1574826612;1;1;12636.6335292314;1.8;-0.343299421487603;600.61;63.22;48.19;41.51;34.19;4.25;6.32;2.42;1.74
grassland;annual;AEG04_2013;ALB;AEG4;2013;2047.28695759661;346;58;21;7;5;147.771111887926;51;16;1899.51584570869;0;0;0;0;0;0;5;2;2047.28695759661;2;1;1372.00721148372;1.8;-0.110875166666667;812.75;63.22;48.19;41.51;34.19;4.25;6.32;2.42;1.74
grassland;annual;AEG04_2015;ALB;AEG4;2015;3779.0625310897;668;166;27;11;8;362.7299717517;154;18;3386.50418447095;0;0;0;1;1;29.8283748670576;16;6;3779.0625310897;9;3;1664.15325178877;1.8;1.11430191666667;617.78;63.22;48.19;41.51;34.19;4.25;6.32;2.42;1.74
grassland;annual;AEG04_2016;ALB;AEG4;2016;4034.79597379348;356;84;27;7;5;225.408973268761;77;22;3809.38700052471;0;0;0;0;0;0;8;5;4034.79597379348;6;3;2439.96153093204;1.8;2.50590933884298;865.44001;63.22;48.19;41.51;34.19;4.25;6.32;2.42;1.74
grassland;annual;AEG04_2017;ALB;AEG4;2017;1521.3165455971;519;58;23;4;3;82.8812283040881;53;19;1426.90882891746;0;0;0;1;1;11.5264883755522;9;6;1521.3165455971;2;2;1009.35648150406;1.8;-1.17685091666667;708.9;63.22;48.19;41.51;34.19;4.25;6.32;2.42;1.74
grassland;annual;AEG05_2008;ALB;AEG5;2008;65542.0657537627;4176;2785;69;27;18;1065.41675635147;2754;47;64364.3744391131;0;0;0;4;4;112.27455829815;426;11;65542.0657537627;10;3;32267.2426971046;1.86;1.36594371900826;707.96;37.97;36.08;35.61;34.85;1.92;7.14;0;0
grassland;annual;AEG05_2009;ALB;AEG5;2009;10523.7471877035;2501;733;29;14;8;126.536084553244;718;20;10326.3520075031;0;0;0;1;1;70.8590956471639;14;6;10523.7471877035;2;2;1407.1610721474;1.86;-0.90424991666667;784.28;37.97;36.08;35.61;34.85;1.92;7.14;0;0
grassland;annual;AEG05_2010;ALB;AEG5;2010;2456.14008188844;784;140;18;5;3;359.987143418584;133;13;2093.51590171876;0;0;0;2;2;2.63703675109361;1;1;2456.14008188844;0;0;78.0341027909911;1.86;-0.78323241666667;715.52;37.97;36.08;35.61;34.85;1.92;7.14;0;0
grassland;annual;AEG05_2011;ALB;AEG5;2011;6302.77677873131;570;358;22;3;3;39.092624773961;355;19;6263.68415395735;0;0;0;0;0;0;2;1;6302.77677873131;2;1;1186.16143070364;1.86;-0.6510485;562.13;37.97;36.08;35.61;34.85;1.92;7.14;0;0
grassland;annual;AEG05_2012;ALB;AEG5;2012;4949.22299605986;551;161;24;2;2;69.5690333394319;156;20;4792.68493692689;0;0;0;3;2;86.9690257935385;10;6;4949.22299605986;2;1;1542.09058203301;1.86;-0.398488099173554;583.32;37.97;36.08;35.61;34.85;1.92;7.14;0;0
grassland;annual;AEG05_2013;ALB;AEG5;2013;4802.1295725131;632;48;13;1;1;42.8060298962233;47;12;4759.32354261687;0;0;0;0;0;0;11;3;4802.1295725131;8;2;4171.47915868441;1.86;-0.439173166666667;819.52;37.97;36.08;35.61;34.85;1.92;7.14;0;0
grassland;annual;AEG05_2014;ALB;AEG5;2014;828.386227071501;514;21;13;2;2;60.8384053027576;19;11;767.547821768743;0;0;0;0;0;0;2;1;828.386227071501;0;0;4.81368047162438;1.86;1.33952791666667;820.55;37.97;36.08;35.61;34.85;1.92;7.14;0;0
grassland;annual;AEG05_2015;ALB;AEG5;2015;5604.99809569877;489;172;23;6;3;166.019455566723;165;19;5425.8803990338;0;0;0;1;1;13.0982410982502;18;5;5604.99809569877;14;3;3051.58620225398;1.86;0.636829666666667;627.15;37.97;36.08;35.61;34.85;1.92;7.14;0;0
grassland;annual;AEG05_2016;ALB;AEG5;2016;3576.9712541931;864;65;23;5;5;83.4138603999127;60;18;3493.55739379319;0;0;0;0;0;0;9;3;3576.9712541931;4;1;2686.86611280706;1.86;2.52425256198347;736.87;37.97;36.08;35.61;34.85;1.92;7.14;0;0
grassland;annual;AEG05_2017;ALB;AEG5;2017;973.557050526001;188;44;21;1;1;2.7818133518859;43;20;970.775237174115;0;0;0;0;0;0;2;2;973.557050526001;2;2;594.609300965034;1.86;-0.493618333333333;726.81;37.97;36.08;35.61;34.85;1.92;7.14;0;0
grassland;annual;AEG06_2008;ALB;AEG6;2008;72297.9027503077;2533;1440;55;16;10;437.975113724026;1418;41;71072.0109287901;0;0;0;6;4;787.916707793525;744;9;72297.9027503077;16;5;58723.6346133813;2.12;1.48517198347107;707.96;65.06;58.77;54;40.48;2.84;12.12;0;0
grassland;annual;AEG06_2009;ALB;AEG6;2009;31941.8115145025;1015;515;29;4;2;511.137293360181;510;26;31400.8458462752;0;0;0;1;1;29.8283748670576;338;4;31941.8115145025;3;3;26745.7670729574;2.12;-0.77846841666667;784.28;65.06;58.77;54;40.48;2.84;12.12;0;0
grassland;annual;AEG06_2010;ALB;AEG6;2010;1935.23746046883;1432;134;28;4;4;284.200053128576;129;23;1645.61293465441;0;0;0;1;1;5.42447268584173;3;2;1935.23746046883;1;1;17.5073109858462;2.12;-0.5548995;715.52;65.06;58.77;54;40.48;2.84;12.12;0;0
grassland;annual;AEG06_2011;ALB;AEG6;2011;6539.47961367735;914;424;30;6;5;457.716919237172;416;23;6076.98493893278;1;1;3.02310542501877;1;1;1.75465008237019;8;2;6539.47961367735;1;1;557.76520791249;2.12;-0.467885416666667;562.13;65.06;58.77;54;40.48;2.84;12.12;0;0
grassland;annual;AEG06_2012;ALB;AEG6;2012;1704.87736432371;217;38;18;0;0;0;38;18;1704.87736432371;0;0;0;0;0;0;12;2;1704.87736432371;1;1;859.903716314115;2.12;-0.15481041322314;583.32;65.06;58.77;54;40.48;2.84;12.12;0;0
grassland;annual;AEG06_2013;ALB;AEG6;2013;523.91602286215;487;29;13;3;2;81.5654197273087;25;10;434.820956383979;0;0;0;1;1;7.52964675086163;4;2;523.91602286215;4;2;139.076033364548;2.12;-0.245572916666667;819.52;65.06;58.77;54;40.48;2.84;12.12;0;0
grassland;annual;AEG06_2015;ALB;AEG6;2015;1116.42453244627;385;85;20;4;4;107.628593436765;80;15;978.967564142445;0;0;0;1;1;29.8283748670576;1;1;1116.42453244627;0;0;3.02310542501877;2.12;0.835489416666667;627.15;65.06;58.77;54;40.48;2.84;12.12;0;0
grassland;annual;AEG06_2016;ALB;AEG6;2016;1970.20601332005;418;125;24;5;5;90.9010634766393;119;18;1867.77846146786;0;0;0;1;1;11.5264883755522;3;3;1970.20601332005;2;2;597.016141200847;2.12;2.56007553719008;736.87;65.06;58.77;54;40.48;2.84;12.12;0;0
grassland;annual;AEG06_2017;ALB;AEG6;2017;4211.61060925619;351;126;22;2;1;73.447149793116;123;20;4115.24272131677;0;0;0;1;1;22.920738146307;15;4;4211.61060925619;7;2;2821.304004024;2.12;-0.4451875;726.81;65.06;58.77;54;40.48;2.84;12.12;0;0
grassland;annual;AEG07_2008;ALB;AEG7;2008;10691.0445439758;735;231;53;13;10;170.987767695441;217;42;10436.9995497916;0;0;0;1;1;83.0572264887545;18;11;10691.0445439758;9;7;1965.67945928828;0.52;1.17049223140496;740.18;49.75;33.66;29.82;30.12;6.66;11.74;0;0.31
grassland;annual;AEG07_2009;ALB;AEG7;2009;6441.65271110883;274;79;28;7;7;411.920592203454;72;21;6029.73211890537;0;0;0;0;0;0;8;4;6441.65271110883;3;2;1894.55981635716;0.52;-0.5736945;757.54;49.75;33.66;29.82;30.12;6.66;11.74;0;0.31
grassland;annual;AEG07_2010;ALB;AEG7;2010;3099.74144869457;200;43;16;2;2;10.2342473431045;41;14;3089.50720135147;0;0;0;0;0;0;3;3;3099.74144869457;2;2;610.436033006285;0.52;-0.50491983333333;695.78;49.75;33.66;29.82;30.12;6.66;11.74;0;0.31
grassland;annual;AEG07_2011;ALB;AEG7;2011;2892.80440669431;253;103;20;2;2;43.6867346927148;101;18;2849.11767200159;0;0;0;0;0;0;12;4;2892.80440669431;3;2;553.204552424718;0.52;-0.360712083333333;571.14;49.75;33.66;29.82;30.12;6.66;11.74;0;0.31
grassland;annual;AEG07_2012;ALB;AEG7;2012;227.668465832732;153;16;8;2;2;18.9703126554564;14;6;208.698153177276;0;0;0;0;0;0;0;0;227.668465832732;0;0;0;0.52;0.146112727272727;610.55;49.75;33.66;29.82;30.12;6.66;11.74;0;0.31
grassland;annual;AEG07_2013;ALB;AEG7;2013;10219.4012568008;156;41;18;3;3;48.9522048067934;36;13;10131.5831602804;0;0;0;2;2;38.8658917136877;9;4;10219.4012568008;3;1;170.937910817725;0.52;-0.266718916666667;828.47001;49.75;33.66;29.82;30.12;6.66;11.74;0;0.31
grassland;annual;AEG07_2014;ALB;AEG7;2014;2672.72727378005;290;39;16;2;1;27.0214613066842;36;14;2645.70581247337;0;0;0;0;0;0;3;3;2672.72727378005;1;1;72.8341407383223;0.52;1.76258358333333;793.92;49.75;33.66;29.82;30.12;6.66;11.74;0;0.31
grassland;annual;AEG07_2015;ALB;AEG7;2015;3398.95037387332;539;193;34;9;8;165.852281499086;184;26;3233.09809237423;0;0;0;0;0;0;31;8;3398.95037387332;22;5;236.41679161448;0.52;0.865017833333333;633.02;49.75;33.66;29.82;30.12;6.66;11.74;0;0.31
grassland;annual;AEG07_2016;ALB;AEG7;2016;4222.60657156179;350;104;25;3;3;31.4018754272157;101;22;4191.20469613458;0;0;0;0;0;0;16;4;4222.60657156179;4;2;497.125735264594;0.52;3.17243760330579;711.46;49.75;33.66;29.82;30.12;6.66;11.74;0;0.31
grassland;annual;AEG07_2017;ALB;AEG7;2017;1299.99709435052;208;40;20;7;3;113.702458121009;33;17;1186.29463622951;0;0;0;0;0;0;6;2;1299.99709435052;1;1;65.2228026534795;0.52;0.503246833333333;711.48;49.75;33.66;29.82;30.12;6.66;11.74;0;0.31
grassland;annual;AEG08_2008;ALB;AEG8;2008;4216.11071541063;742;441;33;5;3;133.81452514005;436;30;4082.29619027058;0;0;0;0;0;0;13;7;4216.11071541063;3;3;1086.75750007352;1.28;1.05934570247934;760.94;71.41;54.25;44.4;42.53;32.08;26.35;28.59;43
grassland;annual;AEG08_2009;ALB;AEG8;2009;8149.75823597587;654;226;42;6;6;156.472517174382;220;36;7993.28571880149;0;0;0;0;0;0;40;12;8149.75823597587;23;4;4257.25184349418;1.28;-0.94938208333333;902.91;71.41;54.25;44.4;42.53;32.08;26.35;28.59;43
grassland;annual;AEG08_2010;ALB;AEG8;2010;2099.03626913533;108;28;17;3;2;675.351093532478;24;14;1410.17444494951;1;1;13.5107306533421;0;0;0;4;4;2099.03626913533;4;4;612.391681069982;1.28;-0.66884383333333;784.3;71.41;54.25;44.4;42.53;32.08;26.35;28.59;43
grassland;annual;AEG08_2011;ALB;AEG8;2011;559.646388747515;132;40;13;2;2;255.384447702433;38;11;304.261941045082;0;0;0;0;0;0;3;3;559.646388747515;1;1;14.0814047649705;1.28;-0.50986475;599.91;71.41;54.25;44.4;42.53;32.08;26.35;28.59;43
grassland;annual;AEG08_2012;ALB;AEG8;2012;193.044180731261;89;17;12;4;4;80.1477843782922;13;8;112.896396352968;0;0;0;0;0;0;1;1;193.044180731261;1;1;11.5264883755522;1.28;-0.199276611570248;624.93;71.41;54.25;44.4;42.53;32.08;26.35;28.59;43
grassland;annual;AEG08_2013;ALB;AEG8;2013;994.058184814859;143;46;15;6;4;32.7411607943097;40;11;961.317024020549;0;0;0;0;0;0;8;4;994.058184814859;4;2;54.741677429532;1.28;-0.471535083333333;842.83;71.41;54.25;44.4;42.53;32.08;26.35;28.59;43
grassland;annual;AEG08_2014;ALB;AEG8;2014;797.195243790792;155;11;7;1;1;4.85211408678928;10;6;792.343129704003;0;0;0;0;0;0;8;4;797.195243790792;1;1;787.569718382954;1.28;1.64801058333333;845.41;71.41;54.25;44.4;42.53;32.08;26.35;28.59;43
grassland;annual;AEG08_2015;ALB;AEG8;2015;1759.99851715686;223;136;18;1;1;2.7818133518859;135;17;1757.21670380497;0;0;0;0;0;0;28;8;1759.99851715686;7;3;745.92594162766;1.28;0.735843916666667;663.88;71.41;54.25;44.4;42.53;32.08;26.35;28.59;43
grassland;annual;AEG08_2016;ALB;AEG8;2016;4629.53232769552;307;99;24;2;2;15.0393162665553;97;22;4614.49301142896;0;0;0;0;0;0;6;6;4629.53232769552;4;4;675.887296069841;1.28;2.9676926446281;732.3;71.41;54.25;44.4;42.53;32.08;26.35;28.59;43
grassland;annual;AEG08_2017;ALB;AEG8;2017;767.43415104865;122;25;10;1;1;2.55280732177317;24;9;764.881343726877;0;0;0;0;0;0;2;2;767.43415104865;2;2;16.423462207487;1.28;-0.009826083333333;779.23;71.41;54.25;44.4;42.53;32.08;26.35;28.59;43
grassland;annual;AEG09_2008;ALB;AEG9;2008;10734.9352287537;667;223;47;3;2;42.7148461684582;219;44;10632.3846862561;0;0;0;1;1;59.8356963291091;37;9;10734.9352287537;15;5;2972.88798461758;0.73;1.27957619834711;643.96;82.88;40.56;35.7;34.87;11.39;13.25;10.7;18.62
grassland;annual;AEG09_2009;ALB;AEG9;2009;1900.9417211234;603;103;27;4;4;32.8664661917255;99;23;1868.07525493168;0;0;0;0;0;0;24;8;1900.9417211234;10;3;785.376320109031;0.73;-0.8818055;776.15;82.88;40.56;35.7;34.87;11.39;13.25;10.7;18.62
grassland;annual;AEG09_2010;ALB;AEG9;2010;2251.42340252092;239;49;20;4;3;237.22427226902;44;16;1984.37075538485;0;0;0;1;1;29.8283748670576;12;5;2251.42340252092;9;4;658.548892227938;0.73;-0.454048416666667;744.91;82.88;40.56;35.7;34.87;11.39;13.25;10.7;18.62
grassland;annual;AEG09_2011;ALB;AEG9;2011;4223.92684802438;427;88;36;3;3;41.9790308066521;82;30;3942.57979958202;0;0;0;3;3;239.36801763571;25;9;4223.92684802438;7;4;2304.82816058016;0.73;-0.305222166666667;570.31;82.88;40.56;35.7;34.87;11.39;13.25;10.7;18.62
grassland;annual;AEG09_2012;ALB;AEG9;2012;550.808097701094;179;22;15;5;4;94.7274216564703;17;11;456.080676044624;0;0;0;0;0;0;4;3;550.808097701094;1;1;194.032173777807;0.73;-0.044820991735537;571.14;82.88;40.56;35.7;34.87;11.39;13.25;10.7;18.62
grassland;annual;AEG09_2013;ALB;AEG9;2013;2123.36023682403;246;76;15;0;0;0;75;14;1687.75389494947;0;0;0;1;1;435.606341874559;13;4;2123.36023682403;6;3;513.783605688413;0.73;-0.039041416666667;844.50999;82.88;40.56;35.7;34.87;11.39;13.25;10.7;18.62
grassland;annual;AEG09_2014;ALB;AEG9;2014;4577.09061068793;670;83;33;11;7;203.413904701445;72;26;4373.67670598648;0;0;0;0;0;0;14;6;4577.09061068793;7;3;1467.88859064727;0.73;1.90754833333333;813.33;82.88;40.56;35.7;34.87;11.39;13.25;10.7;18.62
grassland;annual;AEG09_2015;ALB;AEG9;2015;3002.94249319649;408;113;34;6;6;134.498783447171;107;28;2868.44370974932;0;0;0;0;0;0;41;10;3002.94249319649;16;5;1650.13874740911;0.73;1.056882;597.88;82.88;40.56;35.7;34.87;11.39;13.25;10.7;18.62
grassland;annual;AEG09_2016;ALB;AEG9;2016;5167.84560900034;356;105;24;6;4;73.3749638624857;98;19;5061.12369536807;0;0;0;1;1;33.3469497697795;3;3;5167.84560900034;1;1;134.683728865639;0.73;3.22257917355372;775.67;82.88;40.56;35.7;34.87;11.39;13.25;10.7;18.62
grassland;annual;AEG09_2017;ALB;AEG9;2017;3160.8115243901;391;91;28;5;5;105.617975718829;85;22;3032.27281052496;0;0;0;1;1;22.920738146307;18;7;3160.8115243901;12;3;1040.39900331184;0.73;-0.26609;713.41;82.88;40.56;35.7;34.87;11.39;13.25;10.7;18.62
grassland;annual;AEG10_2008;ALB;AEG10;2008;22111.5712104057;2520;1829;49;13;7;485.137241758124;1814;41;21622.9246684829;0;0;0;2;1;3.50930016474037;58;12;22111.5712104057;10;6;4412.05205749377;1.02;-0.170471487603306;698.45;85.44;59.67;42.66;40.52;11.7;11.01;0.2;7.84
