year_1981,year_1982,year_1983,year_1984,year_1985,year_1986,year_1987,sex,wing_length
0,0,1,1,0,0,0,M,96
0,0,1,1,0,0,0,M,97
0,0,1,1,0,0,0,M,98
0,0,1,1,0,0,0,M,93
0,0,1,1,0,0,0,M,94
0,0,1,1,0,0,0,M,97
0,0,1,1,0,0,0,M,98
0,0,1,1,0,0,0,M,96
0,0,1,1,0,0,0,F,89
0,0,1,1,0,0,0,F,88
0,0,1,1,0,0,0,F,90
0,0,1,1,0,0,0,F,87
0,0,1,0,1,1,0,M,95
0,0,1,0,0,0,0,M,93
0,0,1,0,0,0,0,M,97
0,0,1,0,0,0,0,M,97
0,0,1,0,0,0,0,M,99
0,0,1,0,0,0,0,M,96
0,0,1,0,0,0,0,M,94
0,0,1,0,0,0,0,M,95
0,0,1,0,0,0,0,M,100
0,0,1,0,0,0,0,M,92
0,0,1,0,0,0,0,M,96
0,0,1,0,0,0,0,M,97
0,0,1,0,0,0,0,F,88
0,0,1,0,0,0,0,F,89
0,0,1,0,0,0,0,F,91
0,0,1,0,0,0,0,F,90
0,0,1,0,0,0,0,F,88
0,0,1,0,0,0,0,F,91
0,0,1,0,0,0,0,F,89
0,0,1,0,0,0,0,F,87
0,0,1,0,0,0,0,F,90
0,0,1,0,0,0,0,F,84
0,0,1,0,0,0,0,F,86
0,0,1,0,0,0,0,F,86
0,0,1,0,0,0,0,F,87
0,0,1,0,0,0,0,F,89
0,0,1,0,0,0,0,F,88
0,0,1,0,0,0,0,F,85
0,0,1,0,0,0,0,F,90
0,0,1,0,0,0,0,F,86
0,0,0,1,1,1,1,M,98
0,0,0,1,1,1,1,M,100
0,0,0,1,1,1,1,M,94
0,0,0,1,1,1,1,M,97
0,0,0,1,1,1,1,M,96
0,0,0,1,1,1,1,M,95
0,0,0,1,1,1,1,F,85
0,0,0,1,1,1,1,F,85
0,0,0,1,1,1,0,M,93
0,0,0,1,1,1,0,M,99
0,0,0,1,1,1,0,M,95
0,0,0,1,1,1,0,F,86
0,0,0,1,1,1,0,F,85
0,0,0,1,1,1,0,F,92
0,0,0,1,1,1,0,F,89
0,0,0,1,1,0,0,M,97
0,0,0,1,1,0,0,M,92
0,0,0,1,1,0,0,M,96
0,0,0,1,1,0,0,M,95
0,0,0,1,1,0,0,M,94
0,0,0,1,1,0,0,M,95
0,0,0,1,1,0,0,F,88
0,0,0,1,1,0,0,F,88
0,0,0,1,1,0,0,F,87
0,0,0,1,1,0,0,F,87
0,0,0,1,1,0,0,F,87
0,0,0,1,0,1,1,F,88
0,0,0,1,0,0,1,M,96
0,0,0,1,0,0,1,F,87
0,0,0,1,0,0,0,M,94
0,0,0,1,0,0,0,M,92
0,0,0,1,0,0,0,M,96
0,0,0,1,0,0,0,M,95
0,0,0,1,0,0,0,M,97
0,0,0,1,0,0,0,M,95
0,0,0,1,0,0,0,F,89
0,0,0,1,0,0,0,F,89
0,0,0,1,0,0,0,F,88
0,0,0,1,0,0,0,F,88
0,0,0,1,0,0,0,F,92
0,0,0,1,0,0,0,F,88
0,0,0,1,0,0,0,F,89
0,0,0,1,0,0,0,F,88
0,0,0,1,0,0,0,F,87
0,0,0,1,0,0,0,F,88
0,0,0,0,1,1,1,M,94
0,0,0,0,1,1,1,M,96
0,0,0,0,1,1,1,M,94
0,0,0,0,1,1,1,M,100
0,0,0,0,1,1,1,M,95
0,0,0,0,1,1,1,M,96
0,0,0,0,1,1,1,M,97
0,0,0,0,1,1,1,M,97
0,0,0,0,1,1,1,M,95
0,0,0,0,1,1,1,M,98
0,0,0,0,1,1,1,F,87
0,0,0,0,1,1,1,F,85
0,0,0,0,1,1,1,F,87
0,0,0,0,1,1,1,F,89
0,0,0,0,1,1,1,F,87
0,0,0,0,1,1,1,F,91
0,0,0,0,1,1,0,M,96
0,0,0,0,1,1,0,M,97
0,0,0,0,1,1,0,M,95
0,0,0,0,1,1,0,F,86
0,0,0,0,1,1,0,F,87
0,0,0,0,1,1,0,F,88
0,0,0,0,1,1,0,F,90
0,0,0,0,1,1,0,F,90
0,0,0,0,1,1,0,F,88
0,0,0,0,1,0,0,M,96
0,0,0,0,1,0,0,M,98
0,0,0,0,1,0,0,M,94
0,0,0,0,1,0,0,M,98
0,0,0,0,1,0,0,M,97
0,0,0,0,1,0,0,M,97
0,0,0,0,1,0,0,M,94
0,0,0,0,1,0,0,M,98
0,0,0,0,1,0,0,M,94
0,0,0,0,1,0,0,F,89
0,0,0,0,1,0,0,F,88
0,0,0,0,1,0,0,F,89
0,0,0,0,1,0,0,F,92
0,0,0,0,1,0,0,F,91
0,0,0,0,1,0,0,F,85
0,0,0,0,1,0,0,F,85
0,0,0,0,0,1,1,M,94
0,0,0,0,0,1,1,M,99
0,0,0,0,0,1,1,M,96
0,0,0,0,0,1,1,M,97
0,0,0,0,0,1,1,M,92
0,0,0,0,0,1,1,M,96
0,0,0,0,0,1,1,M,90
0,0,0,0,0,1,1,M,93
0,0,0,0,0,1,1,M,95
0,0,0,0,0,1,1,M,94
0,0,0,0,0,1,1,M,96
0,0,0,0,0,1,1,M,96
0,0,0,0,0,1,1,F,87
0,0,0,0,0,1,1,F,87
0,0,0,0,0,1,1,F,88
0,0,0,0,0,1,1,F,88
0,0,0,0,0,1,1,F,88
0,0,0,0,0,1,1,F,86
0,0,0,0,0,1,1,F,88
0,0,0,0,0,1,1,F,88
0,0,0,0,0,1,1,F,87
0,0,0,0,0,1,1,F,90
0,0,0,0,0,1,1,F,91
0,0,0,0,0,1,0,M,95
0,0,0,0,0,1,0,M,98
0,0,0,0,0,1,0,M,95
0,0,0,0,0,1,0,M,96
0,0,0,0,0,1,0,M,99
0,0,0,0,0,1,0,M,98
0,0,0,0,0,1,0,M,91
0,0,0,0,0,1,0,M,94
0,0,0,0,0,1,0,M,96
0,0,0,0,0,1,0,M,99
0,0,0,0,0,1,0,M,91
0,0,0,0,0,1,0,F,91
0,0,0,0,0,1,0,F,84
0,0,0,0,0,1,0,F,88
0,0,0,0,0,1,0,F,86
0,0,0,0,0,1,0,F,89
0,0,0,0,0,1,0,F,90
0,0,0,0,0,1,0,F,88
0,0,0,0,0,1,0,F,87
0,0,0,0,0,1,0,F,90
0,0,0,0,0,1,0,F,88
0,0,0,0,0,1,0,F,92
0,0,0,0,0,1,0,F,88
0,0,0,0,0,0,1,M,97
0,0,0,0,0,0,1,M,97
0,0,0,0,0,0,1,M,98
0,0,0,0,0,0,1,M,94
0,0,0,0,0,0,1,M,95
0,0,0,0,0,0,1,M,97
0,0,0,0,0,0,1,M,97
0,0,0,0,0,0,1,M,96
0,0,0,0,0,0,1,M,94
0,0,0,0,0,0,1,M,95
0,0,0,0,0,0,1,M,94
0,0,0,0,0,0,1,M,94
0,0,0,0,0,0,1,M,94
0,0,0,0,0,0,1,M,94
0,0,0,0,0,0,1,M,96
0,0,0,0,0,0,1,M,97
0,0,0,0,0,0,1,M,95
0,0,0,0,0,0,1,F,86
0,0,0,0,0,0,1,F,87
0,0,0,0,0,0,1,F,88
0,0,0,0,0,0,1,F,90
0,0,0,0,0,0,1,F,90
0,0,0,0,0,0,1,F,88
0,0,0,0,0,0,1,F,88
0,0,0,0,0,0,1,F,88
0,0,0,0,0,0,1,F,91
0,0,0,0,0,0,1,F,90
0,0,0,0,0,0,1,F,86
0,0,0,0,0,0,1,F,88
0,0,0,0,0,0,1,F,90
0,0,0,0,0,0,1,F,88
0,0,0,0,0,0,1,F,90
0,0,0,0,0,0,1,F,90
0,0,0,0,0,0,1,F,92
0,0,0,0,0,0,1,F,86
0,0,0,0,0,0,1,F,89
0,0,0,0,0,0,1,F,88
0,0,0,0,0,0,1,F,90
0,0,0,0,0,0,1,F,93
