"captures","time","species","ndvi_ma12","mintemp"
9,38,"PP",-0.071367902,-0.730241401
9,39,"DM",-0.171080833,-1.488044139
2,39,"DO",-0.171080833,-1.488044139
4,39,"PB",-0.171080833,-1.488044139
7,39,"PP",-0.171080833,-1.488044139
7,40,"DM",-0.207550016,-1.045073489
1,40,"DO",-0.207550016,-1.045073489
7,40,"PB",-0.207550016,-1.045073489
7,40,"PP",-0.207550016,-1.045073489
NA,41,"DM",-0.188673845,-0.811323086
NA,41,"DO",-0.188673845,-0.811323086
NA,41,"PB",-0.188673845,-0.811323086
NA,41,"PP",-0.188673845,-0.811323086
NA,42,"DM",-0.205125025,-0.752411286
NA,42,"DO",-0.205125025,-0.752411286
NA,42,"PB",-0.205125025,-0.752411286
NA,42,"PP",-0.205125025,-0.752411286
12,43,"DM",-0.187147543,0.273364582
3,43,"DO",-0.187147543,0.273364582
3,43,"PB",-0.187147543,0.273364582
7,43,"PP",-0.187147543,0.273364582
12,44,"DM",-0.195546265,0.954435267
3,44,"DO",-0.195546265,0.954435267
7,44,"PB",-0.195546265,0.954435267
16,44,"PP",-0.195546265,0.954435267
11,45,"DM",-0.197606817,1.218688602
1,45,"DO",-0.197606817,1.218688602
8,45,"PB",-0.197606817,1.218688602
21,45,"PP",-0.197606817,1.218688602
NA,46,"DM",-0.248981873,1.453032755
NA,46,"DO",-0.248981873,1.453032755
NA,46,"PB",-0.248981873,1.453032755
NA,46,"PP",-0.248981873,1.453032755
14,47,"DM",-0.42281188,1.329267777
0,47,"DO",-0.42281188,1.329267777
13,47,"PB",-0.42281188,1.329267777
11,47,"PP",-0.42281188,1.329267777
17,48,"DM",-0.574707701,1.033961131
0,48,"DO",-0.574707701,1.033961131
7,48,"PB",-0.574707701,1.033961131
0,48,"PP",-0.574707701,1.033961131
NA,49,"DM",-0.668841158,0.318961115
NA,49,"DO",-0.668841158,0.318961115
NA,49,"PB",-0.668841158,0.318961115
NA,49,"PP",-0.668841158,0.318961115
16,50,"DM",-0.64696447,-1.088496825
0,50,"DO",-0.64696447,-1.088496825
2,50,"PB",-0.64696447,-1.088496825
1,50,"PP",-0.64696447,-1.088496825
13,51,"DM",-0.493561672,-1.116182319
0,51,"DO",-0.493561672,-1.116182319
1,51,"PB",-0.493561672,-1.116182319
0,51,"PP",-0.493561672,-1.116182319
NA,52,"DM",-0.418698623,-1.439884239
NA,52,"DO",-0.418698623,-1.439884239
NA,52,"PB",-0.418698623,-1.439884239
NA,52,"PP",-0.418698623,-1.439884239
NA,53,"DM",-0.138452528,-1.300984555
NA,53,"DO",-0.138452528,-1.300984555
NA,53,"PB",-0.138452528,-1.300984555
NA,53,"PP",-0.138452528,-1.300984555
15,54,"DM",0.141711945,-0.975519349
0,54,"DO",0.141711945,-0.975519349
3,54,"PB",0.141711945,-0.975519349
5,54,"PP",0.141711945,-0.975519349
16,55,"DM",0.305830597,-0.319399252
1,55,"DO",0.305830597,-0.319399252
0,55,"PB",0.305830597,-0.319399252
2,55,"PP",0.305830597,-0.319399252
24,56,"DM",0.410318303,0.512209191
1,56,"DO",0.410318303,0.512209191
2,56,"PB",0.410318303,0.512209191
5,56,"PP",0.410318303,0.512209191
NA,57,"DM",0.469281494,1.211003357
NA,57,"DO",0.469281494,1.211003357
NA,57,"PB",0.469281494,1.211003357
NA,57,"PP",0.469281494,1.211003357
NA,58,"DM",0.48459566,1.297774292
NA,58,"DO",0.48459566,1.297774292
NA,58,"PB",0.48459566,1.297774292
NA,58,"PP",0.48459566,1.297774292
20,59,"DM",0.536686977,1.27651
0,59,"DO",0.536686977,1.27651
12,59,"PB",0.536686977,1.27651
10,59,"PP",0.536686977,1.27651
21,60,"DM",0.647245319,1.145394762
1,60,"DO",0.647245319,1.145394762
10,60,"PB",0.647245319,1.145394762
8,60,"PP",0.647245319,1.145394762
20,61,"DM",0.748310612,0.483949044
2,61,"DO",0.748310612,0.483949044
10,61,"PB",0.748310612,0.483949044
4,61,"PP",0.748310612,0.483949044
20,62,"DM",0.72935452,0.265645352
6,62,"DO",0.72935452,0.265645352
9,62,"PB",0.72935452,0.265645352
1,62,"PP",0.72935452,0.265645352
NA,63,"DM",0.576552523,-1.240064299
NA,63,"DO",0.576552523,-1.240064299
NA,63,"PB",0.576552523,-1.240064299
NA,63,"PP",0.576552523,-1.240064299
NA,64,"DM",0.505442065,-1.319461024
NA,64,"DO",0.505442065,-1.319461024
NA,64,"PB",0.505442065,-1.319461024
NA,64,"PP",0.505442065,-1.319461024
17,65,"DM",0.229691779,-1.332737613
3,65,"DO",0.229691779,-1.332737613
5,65,"PB",0.229691779,-1.332737613
1,65,"PP",0.229691779,-1.332737613
22,66,"DM",-0.026745062,-1.933669912
7,66,"DO",-0.026745062,-1.933669912
5,66,"PB",-0.026745062,-1.933669912
3,66,"PP",-0.026745062,-1.933669912
17,67,"DM",-0.187425269,-1.33304266
8,67,"DO",-0.187425269,-1.33304266
5,67,"PB",-0.187425269,-1.33304266
7,67,"PP",-0.187425269,-1.33304266
18,68,"DM",-0.28403283,-0.893273144
8,68,"DO",-0.28403283,-0.893273144
5,68,"PB",-0.28403283,-0.893273144
6,68,"PP",-0.28403283,-0.893273144
13,69,"DM",-0.341353477,-0.478182506
7,69,"DO",-0.341353477,-0.478182506
10,69,"PB",-0.341353477,-0.478182506
12,69,"PP",-0.341353477,-0.478182506
11,70,"DM",-0.418146883,0.380383525
5,70,"DO",-0.418146883,0.380383525
11,70,"PB",-0.418146883,0.380383525
19,70,"PP",-0.418146883,0.380383525
NA,71,"DM",-0.4827931,0.589886972
NA,71,"DO",-0.4827931,0.589886972
NA,71,"PB",-0.4827931,0.589886972
NA,71,"PP",-0.4827931,0.589886972
7,72,"DM",-0.316000353,0.340693878
3,72,"DO",-0.316000353,0.340693878
3,72,"PB",-0.316000353,0.340693878
4,72,"PP",-0.316000353,0.340693878
14,73,"DM",-0.227676113,-0.175724649
2,73,"DO",-0.227676113,-0.175724649
8,73,"PB",-0.227676113,-0.175724649
11,73,"PP",-0.227676113,-0.175724649
13,74,"DM",-0.153161123,-1.0102753
6,74,"DO",-0.153161123,-1.0102753
11,74,"PB",-0.153161123,-1.0102753
8,74,"PP",-0.153161123,-1.0102753
13,75,"DM",-0.102341689,-1.647475841
6,75,"DO",-0.102341689,-1.647475841
10,75,"PB",-0.102341689,-1.647475841
5,75,"PP",-0.102341689,-1.647475841
13,76,"DM",-0.103665108,-2.097764223
5,76,"DO",-0.103665108,-2.097764223
10,76,"PB",-0.103665108,-2.097764223
2,76,"PP",-0.103665108,-2.097764223
19,77,"DM",-0.112951272,-0.952907023
13,77,"DO",-0.112951272,-0.952907023
14,77,"PB",-0.112951272,-0.952907023
5,77,"PP",-0.112951272,-0.952907023
19,78,"DM",-0.10789997,-1.037413975
14,78,"DO",-0.10789997,-1.037413975
16,78,"PB",-0.10789997,-1.037413975
8,78,"PP",-0.10789997,-1.037413975
14,79,"DM",-0.100321312,-0.669588648
13,79,"DO",-0.100321312,-0.669588648
8,79,"PB",-0.100321312,-0.669588648
14,79,"PP",-0.100321312,-0.669588648
14,80,"DM",-0.11403496,-0.318925256
9,80,"DO",-0.11403496,-0.318925256
12,80,"PB",-0.11403496,-0.318925256
14,80,"PP",-0.11403496,-0.318925256
