Nest	Xcoord	Ycoord	FoodTreatment	SexParent	ArrivalTime	SiblingNegotiation	BroodSize	NegPerChick	Date	Day	Month
Bochet	557402	180194	Satiated	Male	23.36	2	4	0.5	17/06/97	17	6
Bochet	557402	180194	Satiated	Female	23.4	2	4	0.5	17/06/97	17	6
Bochet	557402	180194	Satiated	Male	23.45	2	4	0.5	17/06/97	17	6
Bochet	557402	180194	Satiated	Female	23.51	0	4	0	17/06/97	17	6
Bochet	557402	180194	Satiated	Male	23.88	0	4	0	17/06/97	17	6
Bochet	557402	180194	Satiated	Female	23.95	0	4	0	17/06/97	17	6
Bochet	557402	180194	Satiated	Female	24.35	0	4	0	17/06/97	17	6
Bochet	557402	180194	Satiated	Female	24.45	0	4	0	17/06/97	17	6
Bochet	557402	180194	Satiated	Male	27.1	0	4	0	17/06/97	17	6
Bochet	557402	180194	Satiated	Male	27.33	0	4	0	17/06/97	17	6
Bochet	557402	180194	Satiated	Male	27.98	0	4	0	17/06/97	17	6
Champmartin	566584	199123	Deprived	Female	22.08	3	3	1	24/07/97	24	7
Champmartin	566584	199123	Deprived	Female	22.36	0	3	0	24/07/97	24	7
Champmartin	566584	199123	Deprived	Female	22.62	10	3	3.33333333	24/07/97	24	7
Champmartin	566584	199123	Deprived	Female	22.83	18	3	6	24/07/97	24	7
Champmartin	566584	199123	Deprived	Female	22.98	18	3	6	24/07/97	24	7
Champmartin	566584	199123	Deprived	Female	23.1	0	3	0	24/07/97	24	7
Champmartin	566584	199123	Deprived	Female	23.15	0	3	0	24/07/97	24	7
Champmartin	566584	199123	Deprived	Female	23.56	2	3	0.66666667	24/07/97	24	7
Champmartin	566584	199123	Deprived	Female	23.73	2	3	0.66666667	24/07/97	24	7
Champmartin	566584	199123	Deprived	Female	23.95	4	3	1.33333333	24/07/97	24	7
Champmartin	566584	199123	Deprived	Female	24.53	3	3	1	24/07/97	24	7
Champmartin	566584	199123	Deprived	Female	24.78	7	3	2.33333333	24/07/97	24	7
Champmartin	566584	199123	Deprived	Female	24.93	7	3	2.33333333	24/07/97	24	7
Champmartin	566584	199123	Deprived	Female	25.03	13	3	4.33333333	24/07/97	24	7
Champmartin	566584	199123	Deprived	Female	25.28	16	3	5.33333333	24/07/97	24	7
Champmartin	566584	199123	Deprived	Female	25.63	14	3	4.66666667	24/07/97	24	7
Champmartin	566584	199123	Deprived	Female	25.82	0	3	0	24/07/97	24	7
Champmartin	566584	199123	Deprived	Female	26.6	0	3	0	24/07/97	24	7
Champmartin	566584	199123	Deprived	Female	27.66	0	3	0	24/07/97	24	7
Champmartin	566584	199123	Deprived	Female	28.58	1	3	0.33333333	24/07/97	24	7
Champmartin	566584	199123	Deprived	Female	29.23	3	3	1	24/07/97	24	7
Champmartin	566584	199123	Satiated	Female	22.46	0	3	0	25/07/97	25	7
Champmartin	566584	199123	Satiated	Female	24.1	0	3	0	25/07/97	25	7
Champmartin	566584	199123	Satiated	Female	24.21	0	3	0	25/07/97	25	7
Champmartin	566584	199123	Satiated	Female	25.71	0	3	0	25/07/97	25	7
Champmartin	566584	199123	Satiated	Female	27.28	0	3	0	25/07/97	25	7
Champmartin	566584	199123	Satiated	Female	27.4	0	3	0	25/07/97	25	7
Champmartin	566584	199123	Satiated	Female	27.5	0	3	0	25/07/97	25	7
Champmartin	566584	199123	Satiated	Female	27.66	0	3	0	25/07/97	25	7
Champmartin	566584	199123	Satiated	Female	27.91	0	3	0	25/07/97	25	7
ChEsard	562025	192075	Deprived	Male	22.36	23	4	5.75	27/06/97	27	6
ChEsard	562025	192075	Deprived	Male	22.55	19	4	4.75	27/06/97	27	6
ChEsard	562025	192075	Deprived	Male	22.66	19	4	4.75	27/06/97	27	6
ChEsard	562025	192075	Deprived	Male	23.13	14	4	3.5	27/06/97	27	6
ChEsard	562025	192075	Deprived	Female	23.26	18	4	4.5	27/06/97	27	6
ChEsard	562025	192075	Deprived	Male	23.33	18	4	4.5	27/06/97	27	6
ChEsard	562025	192075	Deprived	Male	23.58	14	4	3.5	27/06/97	27	6
ChEsard	562025	192075	Deprived	Male	23.68	14	4	3.5	27/06/97	27	6
ChEsard	562025	192075	Deprived	Male	23.82	6	4	1.5	27/06/97	27	6
ChEsard	562025	192075	Deprived	Male	23.93	6	4	1.5	27/06/97	27	6
ChEsard	562025	192075	Deprived	Male	24.63	12	4	3	27/06/97	27	6
ChEsard	562025	192075	Deprived	Female	24.66	12	4	3	27/06/97	27	6
ChEsard	562025	192075	Deprived	Male	24.88	12	4	3	27/06/97	27	6
ChEsard	562025	192075	Deprived	Male	25.5	0	4	0	27/06/97	27	6
ChEsard	562025	192075	Deprived	Male	25.95	17	4	4.25	27/06/97	27	6
ChEsard	562025	192075	Deprived	Male	26.65	3	4	0.75	27/06/97	27	6
ChEsard	562025	192075	Deprived	Male	26.85	11	4	2.75	27/06/97	27	6
ChEsard	562025	192075	Deprived	Male	27.06	2	4	0.5	27/06/97	27	6
ChEsard	562025	192075	Satiated	Female	25.38	19	4	4.75	26/06/97	26	6
ChEsard	562025	192075	Satiated	Male	27.66	6	4	1.5	26/06/97	26	6
Chevroux	559275	192925	Deprived	Male	25.31	17	2	8.5	26/06/97	26	6
Chevroux	559275	192925	Deprived	Male	26.05	5	2	2.5	26/06/97	26	6
Chevroux	559275	192925	Deprived	Male	27.53	5	2	2.5	26/06/97	26	6
Chevroux	559275	192925	Deprived	Male	28.31	7	2	3.5	26/06/97	26	6
Chevroux	559275	192925	Satiated	Male	22.35	0	2	0	27/06/97	27	6
Chevroux	559275	192925	Satiated	Male	23.2	0	2	0	27/06/97	27	6
Chevroux	559275	192925	Satiated	Female	23.88	0	2	0	27/06/97	27	6
Chevroux	559275	192925	Satiated	Male	24.01	0	2	0	27/06/97	27	6
Chevroux	559275	192925	Satiated	Male	24.76	0	2	0	27/06/97	27	6
Chevroux	559275	192925	Satiated	Male	25.98	0	2	0	27/06/97	27	6
CorcellesFavres	563282	187084	Deprived	Female	25.15	7	3	2.33333333	17/08/97	17	8
CorcellesFavres	563282	187084	Deprived	Female	28.98	5	3	1.66666667	17/08/97	17	8
CorcellesFavres	563282	187084	Satiated	Male	22.76	2	3	0.66666667	18/08/97	18	8
CorcellesFavres	563282	187084	Satiated	Male	24.11	9	3	3	18/08/97	18	8
CorcellesFavres	563282	187084	Satiated	Female	25.38	2	3	0.66666667	18/08/97	18	8
CorcellesFavres	563282	187084	Satiated	Male	25.63	4	3	1.33333333	18/08/97	18	8
CorcellesFavres	563282	187084	Satiated	Male	26.03	9	3	3	18/08/97	18	8
CorcellesFavres	563282	187084	Satiated	Male	26.3	5	3	1.66666667	18/08/97	18	8
CorcellesFavres	563282	187084	Satiated	Male	26.73	6	3	2	18/08/97	18	8
CorcellesFavres	563282	187084	Satiated	Male	28.43	3	3	1	18/08/97	18	8
CorcellesFavres	563282	187084	Satiated	Male	28.86	7	3	2.33333333	18/08/97	18	8
CorcellesFavres	563282	187084	Satiated	Male	29.11	20	3	6.66666667	18/08/97	18	8
Etrabloz	562000	182475	Deprived	Male	22.01	4	5	0.8	11/08/97	11	8
Etrabloz	562000	182475	Deprived	Female	22.15	4	5	0.8	11/08/97	11	8
Etrabloz	562000	182475	Deprived	Male	22.26	14	5	2.8	11/08/97	11	8
Etrabloz	562000	182475	Deprived	Female	22.7	9	5	1.8	11/08/97	11	8
Etrabloz	562000	182475	Deprived	Male	22.85	14	5	2.8	11/08/97	11	8
Etrabloz	562000	182475	Deprived	Male	23.13	6	5	1.2	11/08/97	11	8
Etrabloz	562000	182475	Deprived	Male	23.31	8	5	1.6	11/08/97	11	8
Etrabloz	562000	182475	Deprived	Female	23.7	2	5	0.4	11/08/97	11	8
Etrabloz	562000	182475	Deprived	Male	23.76	5	5	1	11/08/97	11	8
Etrabloz	562000	182475	Deprived	Female	23.81	5	5	1	11/08/97	11	8
Etrabloz	562000	182475	Deprived	Female	24.65	0	5	0	11/08/97	11	8
Etrabloz	562000	182475	Deprived	Female	25.61	1	5	0.2	11/08/97	11	8
Etrabloz	562000	182475	Deprived	Female	26.33	5	5	1	11/08/97	11	8
Etrabloz	562000	182475	Deprived	Female	26.48	5	5	1	11/08/97	11	8
Etrabloz	562000	182475	Deprived	Female	26.85	1	5	0.2	11/08/97	11	8
Etrabloz	562000	182475	Deprived	Female	27.5	10	5	2	11/08/97	11	8
Etrabloz	562000	182475	Deprived	Male	27.55	8	5	1.6	11/08/97	11	8
Etrabloz	562000	182475	Deprived	Male	28.35	10	5	2	11/08/97	11	8
Etrabloz	562000	182475	Deprived	Male	28.7	2	5	0.4	11/08/97	11	8
Etrabloz	562000	182475	Deprived	Male	28.81	13	5	2.6	11/08/97	11	8
Etrabloz	562000	182475	Deprived	Male	28.9	13	5	2.6	11/08/97	11	8
Etrabloz	562000	182475	Deprived	Male	29.25	13	5	2.6	11/08/97	11	8
Etrabloz	562000	182475	Satiated	Female	22.46	0	5	0	10/08/97	10	8
Etrabloz	562000	182475	Satiated	Female	22.51	0	5	0	10/08/97	10	8
Etrabloz	562000	182475	Satiated	Male	23.3	2	5	0.4	10/08/97	10	8
Etrabloz	562000	182475	Satiated	Male	23.73	0	5	0	10/08/97	10	8
Etrabloz	562000	182475	Satiated	Male	24.05	0	5	0	10/08/97	10	8
Etrabloz	562000	182475	Satiated	Female	24.38	0	5	0	10/08/97	10	8
Etrabloz	562000	182475	Satiated	Female	24.43	0	5	0	10/08/97	10	8
Etrabloz	562000	182475	Satiated	Female	24.58	0	5	0	10/08/97	10	8
Etrabloz	562000	182475	Satiated	Female	25.05	0	5	0	10/08/97	10	8
Etrabloz	562000	182475	Satiated	Female	25.61	0	5	0	10/08/97	10	8
Etrabloz	562000	182475	Satiated	Male	26.28	0	5	0	10/08/97	10	8
Etrabloz	562000	182475	Satiated	Female	28.26	2	5	0.4	10/08/97	10	8
Forel	557800	191500	Deprived	Male	23.92	1	4	0.25	03/07/97	3	7
Forel	557800	191500	Satiated	Male	23.25	0	4	0	02/07/97	2	7
Forel	557800	191500	Satiated	Male	24.26	0	4	0	02/07/97	2	7
Forel	557800	191500	Satiated	Male	24.3	0	4	0	02/07/97	2	7
Franex	553650	182800	Deprived	Female	22.66	19	4	4.75	19/06/97	19	6
Franex	553650	182800	Deprived	Male	22.68	19	4	4.75	19/06/97	19	6
Franex	553650	182800	Deprived	Male	22.75	19	4	4.75	19/06/97	19	6
Franex	553650	182800	Deprived	Female	22.76	8	4	2	19/06/97	19	6
Franex	553650	182800	Deprived	Female	23.05	9	4	2.25	19/06/97	19	6
Franex	553650	182800	Deprived	Male	23.48	1	4	0.25	19/06/97	19	6
Franex	553650	182800	Deprived	Male	23.65	4	4	1	19/06/97	19	6
Franex	553650	182800	Deprived	Male	23.8	3	4	0.75	19/06/97	19	6
Franex	553650	182800	Deprived	Male	23.9	3	4	0.75	19/06/97	19	6
Franex	553650	182800	Deprived	Male	24.05	6	4	1.5	19/06/97	19	6
Franex	553650	182800	Deprived	Female	24.08	6	4	1.5	19/06/97	19	6
Franex	553650	182800	Deprived	Male	24.25	6	4	1.5	19/06/97	19	6
Franex	553650	182800	Deprived	Male	25.26	0	4	0	19/06/97	19	6
Franex	553650	182800	Deprived	Male	26.36	4	4	1	19/06/97	19	6
Franex	553650	182800	Deprived	Male	26.6	4	4	1	19/06/97	19	6
Franex	553650	182800	Deprived	Male	26.71	4	4	1	19/06/97	19	6
Franex	553650	182800	Deprived	Male	26.95	14	4	3.5	19/06/97	19	6
Franex	553650	182800	Deprived	Female	27.25	8	4	2	19/06/97	19	6
Franex	553650	182800	Deprived	Male	27.38	16	4	4	19/06/97	19	6
Franex	553650	182800	Satiated	Male	22.36	0	4	0	18/06/97	18	6
Franex	553650	182800	Satiated	Male	22.45	0	4	0	18/06/97	18	6
Franex	553650	182800	Satiated	Female	24.58	0	4	0	18/06/97	18	6
Franex	553650	182800	Satiated	Female	24.68	0	4	0	18/06/97	18	6
Franex	553650	182800	Satiated	Male	24.73	0	4	0	18/06/97	18	6
Franex	553650	182800	Satiated	Male	25.11	3	4	0.75	18/06/97	18	6
Franex	553650	182800	Satiated	Male	27.1	5	4	1.25	18/06/97	18	6
GDLV	563575	189760	Deprived	Male	22.46	6	5	1.2	03/07/97	3	7
GDLV	563575	189760	Deprived	Female	22.83	9	5	1.8	03/07/97	3	7
GDLV	563575	189760	Deprived	Male	23.08	11	5	2.2	03/07/97	3	7
GDLV	563575	189760	Deprived	Male	23.75	11	5	2.2	03/07/97	3	7
GDLV	563575	189760	Deprived	Male	23.91	12	5	2.4	03/07/97	3	7
GDLV	563575	189760	Deprived	Male	25.26	12	5	2.4	03/07/97	3	7
GDLV	563575	189760	Deprived	Female	26.85	9	5	1.8	03/07/97	3	7
GDLV	563575	189760	Satiated	Male	22.91	1	5	0.2	04/07/97	4	7
GDLV	563575	189760	Satiated	Male	25.56	2	5	0.4	04/07/97	4	7
GDLV	563575	189760	Satiated	Male	28.78	0	5	0	04/07/97	4	7
Gletterens	561705	193777	Deprived	Female	23.15	16	2	8	01/07/97	1	7
Gletterens	561705	193777	Deprived	Female	23.25	16	2	8	01/07/97	1	7
Gletterens	561705	193777	Deprived	Female	24.05	0	2	0	01/07/97	1	7
Gletterens	561705	193777	Deprived	Female	24.53	0	2	0	01/07/97	1	7
Gletterens	561705	193777	Deprived	Male	24.55	0	2	0	01/07/97	1	7
Gletterens	561705	193777	Deprived	Female	24.85	5	2	2.5	01/07/97	1	7
Gletterens	561705	193777	Deprived	Female	25.8	10	2	5	01/07/97	1	7
Gletterens	561705	193777	Deprived	Male	26.3	3	2	1.5	01/07/97	1	7
Gletterens	561705	193777	Deprived	Male	27.23	0	2	0	01/07/97	1	7
Gletterens	561705	193777	Deprived	Male	27.61	0	2	0	01/07/97	1	7
Gletterens	561705	193777	Deprived	Male	28.78	2	2	1	01/07/97	1	7
Gletterens	561705	193777	Satiated	Female	23.8	3	2	1.5	02/07/97	2	7
Gletterens	561705	193777	Satiated	Male	24.81	0	2	0	02/07/97	2	7
Gletterens	561705	193777	Satiated	Female	25.1	9	2	4.5	02/07/97	2	7
Gletterens	561705	193777	Satiated	Female	27.4	0	2	0	02/07/97	2	7
Henniez	557373	176820	Deprived	Female	22.51	6	2	3	14/07/97	14	7
Henniez	557373	176820	Deprived	Female	22.63	6	2	3	14/07/97	14	7
Henniez	557373	176820	Deprived	Female	22.91	3	2	1.5	14/07/97	14	7
Henniez	557373	176820	Deprived	Female	23.81	0	2	0	14/07/97	14	7
Henniez	557373	176820	Deprived	Female	25.88	0	2	0	14/07/97	14	7
Henniez	557373	176820	Deprived	Female	26.78	0	2	0	14/07/97	14	7
Henniez	557373	176820	Deprived	Female	27.63	0	2	0	14/07/97	14	7
Henniez	557373	176820	Satiated	Female	22.68	2	2	1	15/07/97	15	7
Henniez	557373	176820	Satiated	Female	22.76	17	2	8.5	15/07/97	15	7
Henniez	557373	176820	Satiated	Female	23.06	0	2	0	15/07/97	15	7
Henniez	557373	176820	Satiated	Female	23.28	0	2	0	15/07/97	15	7
Henniez	557373	176820	Satiated	Female	23.96	0	2	0	15/07/97	15	7
Henniez	557373	176820	Satiated	Female	28.26	0	2	0	15/07/97	15	7
Jeuss	578903	194756	Deprived	Female	23.11	9	5	1.8	29/06/97	29	6
Jeuss	578903	194756	Deprived	Male	25.58	12	5	2.4	29/06/97	29	6
Jeuss	578903	194756	Deprived	Male	25.93	2	5	0.4	29/06/97	29	6
Jeuss	578903	194756	Deprived	Female	26.16	11	5	2.2	29/06/97	29	6
Jeuss	578903	194756	Deprived	Male	26.33	5	5	1	29/06/97	29	6
Jeuss	578903	194756	Deprived	Male	26.56	3	5	0.6	29/06/97	29	6
Jeuss	578903	194756	Deprived	Female	26.75	3	5	0.6	29/06/97	29	6
Jeuss	578903	194756	Deprived	Male	26.83	3	5	0.6	29/06/97	29	6
Jeuss	578903	194756	Deprived	Female	27.51	0	5	0	29/06/97	29	6
Jeuss	578903	194756	Deprived	Male	28.98	2	5	0.4	29/06/97	29	6
Jeuss	578903	194756	Satiated	Male	22.66	3	5	0.6	30/06/97	30	6
Jeuss	578903	194756	Satiated	Male	23.16	0	5	0	30/06/97	30	6
Jeuss	578903	194756	Satiated	Female	23.41	0	5	0	30/06/97	30	6
Jeuss	578903	194756	Satiated	Male	25.9	0	5	0	30/06/97	30	6
Jeuss	578903	194756	Satiated	Female	26.6	0	5	0	30/06/97	30	6
Jeuss	578903	194756	Satiated	Female	26.98	0	5	0	30/06/97	30	6
Jeuss	578903	194756	Satiated	Male	27.48	0	5	0	30/06/97	30	6
Jeuss	578903	194756	Satiated	Female	28	0	5	0	30/06/97	30	6
Jeuss	578903	194756	Satiated	Male	28.8	0	5	0	30/06/97	30	6
LesPlanches	559589	191230	Deprived	Male	22.3	3	3	1	10/08/97	10	8
LesPlanches	559589	191230	Deprived	Male	22.63	10	3	3.33333333	10/08/97	10	8
LesPlanches	559589	191230	Deprived	Male	23.06	10	3	3.33333333	10/08/97	10	8
LesPlanches	559589	191230	Deprived	Male	24.03	0	3	0	10/08/97	10	8
LesPlanches	559589	191230	Deprived	Male	26.55	0	3	0	10/08/97	10	8
LesPlanches	559589	191230	Deprived	Female	26.76	0	3	0	10/08/97	10	8
LesPlanches	559589	191230	Deprived	Male	27.45	0	3	0	10/08/97	10	8
LesPlanches	559589	191230	Deprived	Male	27.6	11	3	3.66666667	10/08/97	10	8
LesPlanches	559589	191230	Deprived	Male	28.26	6	3	2	10/08/97	10	8
LesPlanches	559589	191230	Satiated	Male	21.78	0	3	0	09/08/97	9	8
LesPlanches	559589	191230	Satiated	Male	21.81	0	3	0	09/08/97	9	8
LesPlanches	559589	191230	Satiated	Male	22.31	0	3	0	09/08/97	9	8
LesPlanches	559589	191230	Satiated	Male	22.51	10	3	3.33333333	09/08/97	9	8
LesPlanches	559589	191230	Satiated	Male	23.38	0	3	0	09/08/97	9	8
LesPlanches	559589	191230	Satiated	Male	23.41	0	3	0	09/08/97	9	8
LesPlanches	559589	191230	Satiated	Male	23.68	11	3	3.66666667	09/08/97	9	8
LesPlanches	559589	191230	Satiated	Male	24.43	0	3	0	09/08/97	9	8
Lucens	554850	174000	Deprived	Female	22.38	23	4	5.75	15/07/97	15	7
Lucens	554850	174000	Deprived	Male	22.68	15	4	3.75	15/07/97	15	7
Lucens	554850	174000	Deprived	Male	22.81	12	4	3	15/07/97	15	7
Lucens	554850	174000	Deprived	Male	22.9	12	4	3	15/07/97	15	7
Lucens	554850	174000	Deprived	Male	22.98	12	4	3	15/07/97	15	7
Lucens	554850	174000	Deprived	Female	23.38	0	4	0	15/07/97	15	7
Lucens	554850	174000	Deprived	Female	23.45	0	4	0	15/07/97	15	7
Lucens	554850	174000	Deprived	Female	23.51	14	4	3.5	15/07/97	15	7
Lucens	554850	174000	Deprived	Male	23.56	14	4	3.5	15/07/97	15	7
Lucens	554850	174000	Deprived	Female	23.6	14	4	3.5	15/07/97	15	7
Lucens	554850	174000	Deprived	Male	24.25	2	4	0.5	15/07/97	15	7
Lucens	554850	174000	Deprived	Female	25.1	0	4	0	15/07/97	15	7
Lucens	554850	174000	Deprived	Female	25.36	1	4	0.25	15/07/97	15	7
Lucens	554850	174000	Deprived	Male	26.5	4	4	1	15/07/97	15	7
Lucens	554850	174000	Deprived	Female	26.61	8	4	2	15/07/97	15	7
Lucens	554850	174000	Deprived	Male	26.81	1	4	0.25	15/07/97	15	7
Lucens	554850	174000	Deprived	Male	27.08	4	4	1	15/07/97	15	7
Lucens	554850	174000	Deprived	Female	27.53	5	4	1.25	15/07/97	15	7
Lucens	554850	174000	Deprived	Female	28.03	8	4	2	15/07/97	15	7
Lucens	554850	174000	Deprived	Male	28.4	7	4	1.75	15/07/97	15	7
Lucens	554850	174000	Satiated	Male	22.36	9	4	2.25	14/07/97	14	7
Lucens	554850	174000	Satiated	Male	22.76	2	4	0.5	14/07/97	14	7
Lucens	554850	174000	Satiated	Female	23.03	0	4	0	14/07/97	14	7
Lucens	554850	174000	Satiated	Male	25.05	13	4	3.25	14/07/97	14	7
Lucens	554850	174000	Satiated	Male	26.2	0	4	0	14/07/97	14	7
Lucens	554850	174000	Satiated	Male	26.85	0	4	0	14/07/97	14	7
Lucens	554850	174000	Satiated	Female	27.16	0	4	0	14/07/97	14	7
Lucens	554850	174000	Satiated	Female	28.13	9	4	2.25	14/07/97	14	7
Lucens	554850	174000	Satiated	Male	28.26	7	4	1.75	14/07/97	14	7
Lully	554920	186664	Deprived	Male	22.31	16	4	4	24/06/97	24	6
Lully	554920	186664	Deprived	Female	22.51	13	4	3.25	24/06/97	24	6
Lully	554920	186664	Deprived	Male	22.55	13	4	3.25	24/06/97	24	6
Lully	554920	186664	Deprived	Male	22.98	15	4	3.75	24/06/97	24	6
Lully	554920	186664	Deprived	Male	23.01	14	4	3.5	24/06/97	24	6
Lully	554920	186664	Deprived	Male	23.15	14	4	3.5	24/06/97	24	6
Lully	554920	186664	Deprived	Female	23.63	15	4	3.75	24/06/97	24	6
Lully	554920	186664	Deprived	Male	23.66	15	4	3.75	24/06/97	24	6
Lully	554920	186664	Deprived	Female	24.4	0	4	0	24/06/97	24	6
Lully	554920	186664	Deprived	Female	25.13	0	4	0	24/06/97	24	6
Lully	554920	186664	Deprived	Male	28.58	2	4	0.5	24/06/97	24	6
Lully	554920	186664	Satiated	Female	23.25	6	4	1.5	23/06/97	23	6
Lully	554920	186664	Satiated	Male	23.7	6	4	1.5	23/06/97	23	6
Lully	554920	186664	Satiated	Male	24.85	1	4	0.25	23/06/97	23	6
Lully	554920	186664	Satiated	Male	26.78	9	4	2.25	23/06/97	23	6
Lully	554920	186664	Satiated	Male	26.93	9	4	2.25	23/06/97	23	6
Lully	554920	186664	Satiated	Male	27.31	3	4	0.75	23/06/97	23	6
Marnand	558675	178764	Deprived	Male	22.28	12	4	3	18/06/97	18	6
Marnand	558675	178764	Deprived	Male	22.73	13	4	3.25	18/06/97	18	6
Marnand	558675	178764	Deprived	Female	22.98	28	4	7	18/06/97	18	6
Marnand	558675	178764	Deprived	Female	23.4	6	4	1.5	18/06/97	18	6
Marnand	558675	178764	Deprived	Male	23.86	0	4	0	18/06/97	18	6
Marnand	558675	178764	Deprived	Male	24.41	4	4	1	18/06/97	18	6
Marnand	558675	178764	Deprived	Female	24.48	4	4	1	18/06/97	18	6
Marnand	558675	178764	Deprived	Female	25.13	13	4	3.25	18/06/97	18	6
Marnand	558675	178764	Deprived	Male	25.53	7	4	1.75	18/06/97	18	6
Marnand	558675	178764	Deprived	Male	25.58	4	4	1	18/06/97	18	6
Marnand	558675	178764	Deprived	Male	25.96	4	4	1	18/06/97	18	6
Marnand	558675	178764	Deprived	Male	26.06	17	4	4.25	18/06/97	18	6
Marnand	558675	178764	Deprived	Male	26.53	5	4	1.25	18/06/97	18	6
Marnand	558675	178764	Deprived	Male	27.38	0	4	0	18/06/97	18	6
Marnand	558675	178764	Deprived	Male	27.46	0	4	0	18/06/97	18	6
Marnand	558675	178764	Satiated	Female	22.53	6	4	1.5	19/06/97	19	6
Marnand	558675	178764	Satiated	Male	22.65	6	4	1.5	19/06/97	19	6
Marnand	558675	178764	Satiated	Male	23.35	0	4	0	19/06/97	19	6
Marnand	558675	178764	Satiated	Male	24.23	3	4	0.75	19/06/97	19	6
Marnand	558675	178764	Satiated	Female	24.31	2	4	0.5	19/06/97	19	6
Marnand	558675	178764	Satiated	Female	24.58	8	4	2	19/06/97	19	6
Marnand	558675	178764	Satiated	Male	24.63	8	4	2	19/06/97	19	6
Marnand	558675	178764	Satiated	Female	25.63	0	4	0	19/06/97	19	6
Marnand	558675	178764	Satiated	Female	25.68	0	4	0	19/06/97	19	6
Marnand	558675	178764	Satiated	Male	25.86	12	4	3	19/06/97	19	6
Marnand	558675	178764	Satiated	Male	26.38	7	4	1.75	19/06/97	19	6
Marnand	558675	178764	Satiated	Male	26.76	1	4	0.25	19/06/97	19	6
Moutet	556382	185294	Deprived	Male	22.95	15	5	3	29/05/97	29	5
Moutet	556382	185294	Deprived	Male	23.11	17	5	3.4	29/05/97	29	5
Moutet	556382	185294	Deprived	Male	23.33	10	5	2	29/05/97	29	5
Moutet	556382	185294	Deprived	Male	23.6	15	5	3	29/05/97	29	5
Moutet	556382	185294	Deprived	Male	23.81	10	5	2	29/05/97	29	5
